displ,year,cyl,cty,hwy
1.8,1999,4,18,29
1.8,1999,4,21,29
2.0,2008,4,20,31
2.0,2008,4,21,30
2.8,1999,6,16,26
2.8,1999,6,18,26
3.1,2008,6,18,27
1.8,1999,4,18,26
1.8,1999,4,16,25
2.0,2008,4,20,28
2.0,2008,4,19,27
2.8,1999,6,15,25
2.8,1999,6,17,25
3.1,2008,6,17,25
3.1,2008,6,15,25
2.8,1999,6,15,24
3.1,2008,6,17,25
4.2,2008,8,16,23
5.3,2008,8,14,20
5.3,2008,8,11,15
5.3,2008,8,14,20
5.7,1999,8,13,17
6.0,2008,8,12,17
5.7,1999,8,16,26
5.7,1999,8,15,23
6.2,2008,8,16,26
6.2,2008,8,15,25
7.0,2008,8,15,24
5.3,2008,8,14,19
5.3,2008,8,11,14
5.7,1999,8,11,15
6.5,1999,8,14,17
2.4,1999,4,19,27
2.4,2008,4,22,30
3.1,1999,6,18,26
3.5,2008,6,18,29
3.6,2008,6,17,26
2.4,1999,4,18,24
3.0,1999,6,17,24
3.3,1999,6,16,22
3.3,1999,6,16,22
3.3,2008,6,17,24
3.3,2008,6,17,24
3.3,2008,6,11,17
3.8,1999,6,15,22
3.8,1999,6,15,21
3.8,2008,6,16,23
4.0,2008,6,16,23
3.7,2008,6,15,19
3.7,2008,6,14,18
3.9,1999,6,13,17
3.9,1999,6,14,17
4.7,2008,8,14,19
4.7,2008,8,14,19
4.7,2008,8,9,12
5.2,1999,8,11,17
5.2,1999,8,11,15
3.9,1999,6,13,17
4.7,2008,8,13,17
4.7,2008,8,9,12
4.7,2008,8,13,17
5.2,1999,8,11,16
5.7,2008,8,13,18
5.9,1999,8,11,15
4.7,2008,8,12,16
4.7,2008,8,9,12
4.7,2008,8,13,17
4.7,2008,8,13,17
4.7,2008,8,12,16
4.7,2008,8,9,12
5.2,1999,8,11,15
5.2,1999,8,11,16
5.7,2008,8,13,17
5.9,1999,8,11,15
4.6,1999,8,11,17
5.4,1999,8,11,17
5.4,2008,8,12,18
4.0,1999,6,14,17
4.0,1999,6,15,19
4.0,1999,6,14,17
4.0,2008,6,13,19
